section,season,tou_period,vintage_start,vintage_end,provider,authority,rate_per_kwh,comparison_rate_per_kwh,evidence,note
base_services_charge,,per_day,2024-06-26,2024-07-25,bundled,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2024-07-26,2024-08-26,bundled,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2024-08-27,2024-09-25,bundled,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2024-09-26,2024-10-25,bundled,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2024-10-26,2024-11-25,bundled,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2024-11-26,2024-12-26,bundled,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2024-12-27,2025-01-27,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-01-28,2025-02-26,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-02-27,2025-03-27,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-03-28,2025-04-28,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-04-29,2025-05-28,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-05-29,2025-06-26,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-06-27,2025-07-28,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-07-29,2025-08-26,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-08-27,2025-09-25,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-09-26,2025-09-30,CCA,charged_tariff,,,absent,"no base_services_charge line parsed for this period — SETTLED, no longer an OPEN question (issue #7): the charge did not exist before 2025-10-01, when SDG&E replaced the flat Monthly Service Fee with this per-day charge under CPUC Resolution E-5355 (confirmed against the bill corpus); a real absence, not a parser gap"
base_services_charge,,per_day,2025-10-01,2025-10-27,CCA,charged_tariff,0.79333,,derived,period total 21.42 / 27 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2025-10-28,2025-11-25,CCA,charged_tariff,0.79345,,derived,period total 23.01 / 29 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2025-11-26,2025-12-26,CCA,charged_tariff,0.79355,,derived,period total 24.60 / 31 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2025-12-27,2026-01-27,CCA,charged_tariff,0.79344,,derived,period total 25.39 / 32 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2026-01-28,2026-02-26,CCA,charged_tariff,0.79333,,derived,period total 23.80 / 30 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2026-02-27,2026-03-27,CCA,charged_tariff,0.79345,,derived,period total 23.01 / 29 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2026-03-28,2026-04-28,CCA,charged_tariff,0.79344,,derived,period total 25.39 / 32 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2026-04-29,2026-05-28,CCA,charged_tariff,0.79333,,derived,period total 23.80 / 30 days (the printed daily unit rate is not captured by the parser)
base_services_charge,,per_day,2026-05-29,2026-06-26,CCA,charged_tariff,0.79345,,derived,period total 23.01 / 29 days (the printed daily unit rate is not captured by the parser)
provider,,,2024-05-25,2024-06-25,bundled,not_a_rate,,,direct,bundled
provider,,,2024-06-26,2024-07-25,bundled,not_a_rate,,,direct,bundled
provider,,,2024-07-26,2024-08-26,bundled,not_a_rate,,,direct,bundled
provider,,,2024-08-27,2024-09-25,bundled,not_a_rate,,,direct,bundled
provider,,,2024-09-26,2024-10-25,bundled,not_a_rate,,,direct,bundled
provider,,,2024-10-26,2024-11-25,bundled,not_a_rate,,,direct,bundled
provider,,,2024-11-26,2024-12-26,bundled,not_a_rate,,,direct,bundled
provider,,,2024-12-27,2025-01-27,CCA,not_a_rate,,,direct,CCA
provider,,,2025-01-28,2025-02-26,CCA,not_a_rate,,,direct,CCA
provider,,,2025-02-27,2025-03-27,CCA,not_a_rate,,,direct,CCA
provider,,,2025-03-28,2025-04-28,CCA,not_a_rate,,,direct,CCA
provider,,,2025-04-29,2025-05-28,CCA,not_a_rate,,,direct,CCA
provider,,,2025-05-29,2025-06-26,CCA,not_a_rate,,,direct,CCA
provider,,,2025-06-27,2025-07-28,CCA,not_a_rate,,,direct,CCA
provider,,,2025-07-29,2025-08-26,CCA,not_a_rate,,,direct,CCA
provider,,,2025-08-27,2025-09-25,CCA,not_a_rate,,,direct,CCA
provider,,,2025-09-26,2025-09-30,CCA,not_a_rate,,,direct,CCA
provider,,,2025-10-01,2025-10-27,CCA,not_a_rate,,,direct,CCA
provider,,,2025-10-28,2025-11-25,CCA,not_a_rate,,,direct,CCA
provider,,,2025-11-26,2025-12-26,CCA,not_a_rate,,,direct,CCA
provider,,,2025-12-27,2026-01-27,CCA,not_a_rate,,,direct,CCA
provider,,,2026-01-28,2026-02-26,CCA,not_a_rate,,,direct,CCA
provider,,,2026-02-27,2026-03-27,CCA,not_a_rate,,,direct,CCA
provider,,,2026-03-28,2026-04-28,CCA,not_a_rate,,,direct,CCA
provider,,,2026-04-29,2026-05-28,CCA,not_a_rate,,,direct,CCA
provider,,,2026-05-29,2026-06-26,CCA,not_a_rate,,,direct,CCA
